date,trades,volume_usd,gross_pnl,fees,net_pnl
2024-10-23,18,210006.07,-46.489941,73.502111,-119.992052
2024-10-25,30,427883.18,13235.862071,143.841914,13092.020156999999
2024-10-26,6,88668.86,42471.99413,8.512204,42463.481926
2024-10-27,4,90664.41,666.6623079999999,31.73254,634.929768
2024-10-28,13,121495.25,167.28016200000002,42.27334,125.00682200000003
2024-10-29,53,613267.8099999999,801.170876,214.643714,586.527162
2024-10-30,25,11830.85,9.150023,3.596988,5.5530349999999995
2024-10-31,48,896173.36,1214.043811,312.710928,901.332883
2024-11-01,23,260981.03,1040.475736,90.654875,949.820861
2024-11-02,2,40000.0,0.0,13.999997,-13.999997
2024-11-03,6,129055.66,0.0,40.404152,-40.404152
2024-11-04,36,451811.97,2799.410474,158.13418000000001,2641.2762940000002
2024-11-05,10,200627.23,678.4759280000001,70.219524,608.256404
2024-11-06,15,123906.9,2817.83723,43.36741,2774.46982
2024-11-07,113,111335.3,4493.353136,26.17844238,4467.17469362
2024-11-08,39,270700.44,-64.41354100000007,93.87825699999999,-158.29179800000006
2024-11-09,86,193384.41,102.90894,66.18450299999999,36.724437
2024-11-10,173,413636.7,991.114334,142.313546,848.800788
2024-11-11,373,1570572.42,6749.630996,396.91055,6352.720446
2024-11-12,171,1226354.52,3494.399394,427.904853,3066.494541
2024-11-13,48,515336.37,7846.402274,179.184068,7667.2182060000005
2024-11-14,110,1008361.81,4563.509225,335.028802,4228.480423
2024-11-15,149,1427858.42,4140.740438,466.427513,3674.312925
2024-11-16,157,303296.07,2769.521909,100.171303,2669.350606
2024-11-17,209,1215987.57,882.975285,271.111689,611.863596
2024-11-18,346,2084339.58,4470.815187,445.104339,4025.710848
2024-11-19,305,628031.15,2958.268991,201.486933,2756.782058
2024-11-20,550,1999514.1199999999,4210.0928969999995,644.057369,3566.035528
2024-11-21,535,598300.62,1692.430891,198.628267,1493.802624
2024-11-22,679,1646713.62,-18105.345617,436.439059,-18541.784676
2024-11-23,363,516245.68,2901.531638,154.621867,2746.909771
2024-11-24,172,664952.28,945.550386,202.583126,742.96726
2024-11-25,255,937410.87,5523.740734,283.779701,5239.961033
2024-11-26,302,1146902.44,1094.809359,311.298478,783.510881
2024-11-27,213,1444242.53,-2654.495633,439.714536,-3094.210169
2024-11-28,332,1894225.15,-127075.39958499999,315.582009,-127390.981594
2024-11-29,393,794262.91,176844.994152,192.45173557,176652.54241643
2024-11-30,373,1732193.7,37316.69352,552.3753395,36764.3181805
2024-12-01,416,814711.82,40886.364494,245.38375138,40640.98074262
2024-12-02,270,585243.56,18489.604313,147.88781359,18341.71649941
2024-12-03,374,1084666.53,23576.539285,330.57309170999997,23245.966193289998
2024-12-04,319,769287.65,292891.815021,172.60641765,292719.20860335
2024-12-05,456,1256750.79,71574.11848800001,352.76572323,71221.35276477
2024-12-06,403,3471019.22,-92624.643895,691.99378587,-93316.63768087
2024-12-07,304,451733.42,85906.279067,108.4520379,85797.8270291
2024-12-08,420,932939.72,15965.933436,234.17888346,15731.75455254
2024-12-09,539,983949.68,6310.967676,174.77343643,6136.19423957
2024-12-10,1596,3150424.08,39325.770231,453.54068535,38872.22954565
