date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-04-04,32,1,1,95987.73,0.0,33.595684999999996,-33.595684999999996,0.0,70.0,Greed,"(67.0, 74.0]"
2024-04-05,100,3,6,503791.8,10706.484306,103.430138,10603.054168,0.9,79.0,Extreme Greed,"(74.0, 94.0]"
2024-04-06,16,1,1,68223.67,236.33513399999998,23.878277,212.45685699999999,0.25,75.0,Extreme Greed,"(74.0, 94.0]"
2024-04-07,23,1,1,49988.14,0.0,17.495845,-17.495845,0.0,78.0,Extreme Greed,"(74.0, 94.0]"
2024-04-08,30,2,2,211940.64,1218.4267,61.790548,1156.636152,0.03333333333333333,76.0,Extreme Greed,"(74.0, 94.0]"
2024-04-09,3,1,1,57063.840000000004,0.0,19.972341,-19.972341,0.0,80.0,Extreme Greed,"(74.0, 94.0]"
2024-04-10,41,1,1,351735.97,5207.443414,123.107562,5084.335852,0.8780487804878049,78.0,Extreme Greed,"(74.0, 94.0]"
2024-04-11,16,1,1,76400.96,389.743164,26.740329,363.002835,0.125,76.0,Extreme Greed,"(74.0, 94.0]"
2024-04-12,129,3,5,442088.59,-592.6458390000001,97.560875,-690.206714,0.5503875968992248,79.0,Extreme Greed,"(74.0, 94.0]"
2024-04-13,89,2,6,486411.25,6621.451755,118.999176,6502.452579000001,0.6853932584269663,72.0,Greed,"(67.0, 74.0]"
2024-04-14,107,2,5,659162.17,-36104.012520000004,213.477404,-36317.489924,0.308411214953271,72.0,Greed,"(67.0, 74.0]"
2024-04-15,41,2,2,291111.19,3774.08872,40.650603999999994,3733.438116,0.8536585365853658,74.0,Greed,"(67.0, 74.0]"
2024-04-16,47,2,2,181907.17,2467.702221,18.457685,2449.244536,0.9148936170212766,65.0,Greed,"(48.0, 67.0]"
2024-04-17,14,1,1,97562.99,2441.4683999999997,10.620963,2430.8474370000004,0.9285714285714286,67.0,Greed,"(48.0, 67.0]"
2024-04-19,35,1,1,337257.92000000004,1946.4454620000001,118.04025999999999,1828.4052020000001,0.7714285714285715,66.0,Greed,"(48.0, 67.0]"
2024-04-20,22,2,2,60733.24,0.0,121.289047,-121.289047,0.0,66.0,Greed,"(48.0, 67.0]"
